Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,2020-04-22,0,209
Worcestershire,E10000034,Upper tier local authority,2020-04-22,0,985
Wolverhampton,E08000031,Upper tier local authority,2020-04-22,0,640
Wokingham,E06000041,Upper tier local authority,2020-04-22,0,285
Wirral,E08000015,Upper tier local authority,2020-04-22,0,847
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-22,0,206
Wiltshire,E06000054,Upper tier local authority,2020-04-22,0,400
Wigan,E08000010,Upper tier local authority,2020-04-22,0,505
Westminster,E09000033,Upper tier local authority,2020-04-22,0,570
West Sussex,E10000032,Upper tier local authority,2020-04-22,0,943
West Berkshire,E06000037,Upper tier local authority,2020-04-22,0,256
Warwickshire,E10000031,Upper tier local authority,2020-04-22,0,955
Warrington,E06000007,Upper tier local authority,2020-04-22,0,497
Wandsworth,E09000032,Upper tier local authority,2020-04-22,0,871
Waltham Forest,E09000031,Upper tier local authority,2020-04-22,0,677
Walsall,E08000030,Upper tier local authority,2020-04-22,0,753
Wakefield,E08000036,Upper tier local authority,2020-04-22,0,441
Trafford,E08000009,Upper tier local authority,2020-04-22,0,504
Tower Hamlets,E09000030,Upper tier local authority,2020-04-22,1,578
Torbay,E06000027,Upper tier local authority,2020-04-22,1,169
Thurrock,E06000034,Upper tier local authority,2020-04-22,0,244
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-22,3,205
Tameside,E08000008,Upper tier local authority,2020-04-22,0,394
Swindon,E06000030,Upper tier local authority,2020-04-22,0,307
Sutton,E09000029,Upper tier local authority,2020-04-22,0,609
Surrey,E10000030,Upper tier local authority,2020-04-22,0,2176
Sunderland,E08000024,Upper tier local authority,2020-04-22,6,1026
Suffolk,E10000029,Upper tier local authority,2020-04-22,0,814
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-22,4,345
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-22,1,280
Stockport,E08000007,Upper tier local authority,2020-04-22,8,699
Staffordshire,E10000028,Upper tier local authority,2020-04-22,3,1405
St. Helens,E08000013,Upper tier local authority,2020-04-22,0,510
Southwark,E09000028,Upper tier local authority,2020-04-22,0,1126
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-22,0,266
Southampton,E06000045,Upper tier local authority,2020-04-22,1,398
South Tyneside,E08000023,Upper tier local authority,2020-04-22,6,425
South Gloucestershire,E06000025,Upper tier local authority,2020-04-22,1,304
Somerset,E10000027,Upper tier local authority,2020-04-22,0,401
Solihull,E08000029,Upper tier local authority,2020-04-22,0,476
Slough,E06000039,Upper tier local authority,2020-04-22,0,325
Shropshire,E06000051,Upper tier local authority,2020-04-22,1,398
Sheffield,E08000019,Upper tier local authority,2020-04-22,0,1751
Sefton,E08000014,Upper tier local authority,2020-04-22,0,699
Sandwell,E08000028,Upper tier local authority,2020-04-22,0,831
Salford,E08000006,Upper tier local authority,2020-04-22,0,503
Rutland,E06000017,Upper tier local authority,2020-04-22,0,13
Rotherham,E08000018,Upper tier local authority,2020-04-22,0,537
Rochdale,E08000005,Upper tier local authority,2020-04-22,0,358
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-22,0,347
Redcar and Cleveland,E06000003,Upper tier local authority,2020-04-22,0,239
Redbridge,E09000026,Upper tier local authority,2020-04-22,2,625
Reading,E06000038,Upper tier local authority,2020-04-22,0,369
Portsmouth,E06000044,Upper tier local authority,2020-04-22,0,238
Plymouth,E06000026,Upper tier local authority,2020-04-22,8,246
Peterborough,E06000031,Upper tier local authority,2020-04-22,0,171
Oxfordshire,E10000025,Upper tier local authority,2020-04-22,0,1314
Oldham,E08000004,Upper tier local authority,2020-04-22,0,509
Nottinghamshire,E10000024,Upper tier local authority,2020-04-22,2,946
Nottingham,E06000018,Upper tier local authority,2020-04-22,14,448
Northumberland,E06000057,Upper tier local authority,2020-04-22,0,668
Northamptonshire,E10000021,Upper tier local authority,2020-04-22,0,952
North Yorkshire,E10000023,Upper tier local authority,2020-04-22,2,718
North Tyneside,E08000022,Upper tier local authority,2020-04-22,0,412
