Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,2020-04-10,0,119
Worcestershire,E10000034,Upper tier local authority,2020-04-10,0,549
Wolverhampton,E08000031,Upper tier local authority,2020-04-10,0,409
Wokingham,E06000041,Upper tier local authority,2020-04-10,0,152
Wirral,E08000015,Upper tier local authority,2020-04-10,0,438
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-10,0,133
Wiltshire,E06000054,Upper tier local authority,2020-04-10,0,214
Wigan,E08000010,Upper tier local authority,2020-04-10,0,263
Westminster,E09000033,Upper tier local authority,2020-04-10,0,446
West Sussex,E10000032,Upper tier local authority,2020-04-10,0,372
West Berkshire,E06000037,Upper tier local authority,2020-04-10,0,143
Warwickshire,E10000031,Upper tier local authority,2020-04-10,0,555
Warrington,E06000007,Upper tier local authority,2020-04-10,1,261
Wandsworth,E09000032,Upper tier local authority,2020-04-10,0,672
Waltham Forest,E09000031,Upper tier local authority,2020-04-10,0,488
Walsall,E08000030,Upper tier local authority,2020-04-10,0,476
Wakefield,E08000036,Upper tier local authority,2020-04-10,0,274
Trafford,E08000009,Upper tier local authority,2020-04-10,0,325
Tower Hamlets,E09000030,Upper tier local authority,2020-04-10,0,452
Torbay,E06000027,Upper tier local authority,2020-04-10,0,87
Thurrock,E06000034,Upper tier local authority,2020-04-10,0,171
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-10,0,124
Tameside,E08000008,Upper tier local authority,2020-04-10,0,241
Swindon,E06000030,Upper tier local authority,2020-04-10,0,143
Sutton,E09000029,Upper tier local authority,2020-04-10,0,382
Surrey,E10000030,Upper tier local authority,2020-04-10,1,1306
Sunderland,E08000024,Upper tier local authority,2020-04-10,0,357
Suffolk,E10000029,Upper tier local authority,2020-04-10,0,394
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-10,15,182
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-10,0,176
Stockport,E08000007,Upper tier local authority,2020-04-10,0,388
Staffordshire,E10000028,Upper tier local authority,2020-04-10,13,826
St. Helens,E08000013,Upper tier local authority,2020-04-10,0,329
Southwark,E09000028,Upper tier local authority,2020-04-10,0,867
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-10,0,193
Southampton,E06000045,Upper tier local authority,2020-04-10,1,222
South Tyneside,E08000023,Upper tier local authority,2020-04-10,0,123
South Gloucestershire,E06000025,Upper tier local authority,2020-04-10,1,196
Somerset,E10000027,Upper tier local authority,2020-04-10,0,177
Solihull,E08000029,Upper tier local authority,2020-04-10,0,301
Slough,E06000039,Upper tier local authority,2020-04-10,0,208
Shropshire,E06000051,Upper tier local authority,2020-04-10,1,227
Sheffield,E08000019,Upper tier local authority,2020-04-10,1,1141
Sefton,E08000014,Upper tier local authority,2020-04-10,0,404
Sandwell,E08000028,Upper tier local authority,2020-04-10,1,490
Salford,E08000006,Upper tier local authority,2020-04-10,0,321
Rutland,E06000017,Upper tier local authority,2020-04-10,0,9
Rotherham,E08000018,Upper tier local authority,2020-04-10,0,318
Rochdale,E08000005,Upper tier local authority,2020-04-10,0,240
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-10,0,257
Redcar and Cleveland,E06000003,Upper tier local authority,2020-04-10,0,140
Redbridge,E09000026,Upper tier local authority,2020-04-10,0,464
Reading,E06000038,Upper tier local authority,2020-04-10,0,161
Portsmouth,E06000044,Upper tier local authority,2020-04-10,0,155
Plymouth,E06000026,Upper tier local authority,2020-04-10,5,132
Peterborough,E06000031,Upper tier local authority,2020-04-10,0,101
Oxfordshire,E10000025,Upper tier local authority,2020-04-10,0,731
Oldham,E08000004,Upper tier local authority,2020-04-10,0,296
Nottinghamshire,E10000024,Upper tier local authority,2020-04-10,2,613
Nottingham,E06000018,Upper tier local authority,2020-04-10,5,287
Northumberland,E06000057,Upper tier local authority,2020-04-10,4,343
