Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,2020-04-13,0,129
Worcestershire,E10000034,Upper tier local authority,2020-04-13,0,634
Wolverhampton,E08000031,Upper tier local authority,2020-04-13,0,462
Wokingham,E06000041,Upper tier local authority,2020-04-13,0,155
Wirral,E08000015,Upper tier local authority,2020-04-13,0,560
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-13,0,142
Wiltshire,E06000054,Upper tier local authority,2020-04-13,0,245
Wigan,E08000010,Upper tier local authority,2020-04-13,0,320
Westminster,E09000033,Upper tier local authority,2020-04-13,0,491
West Sussex,E10000032,Upper tier local authority,2020-04-13,0,459
West Berkshire,E06000037,Upper tier local authority,2020-04-13,0,148
Warwickshire,E10000031,Upper tier local authority,2020-04-13,0,649
Warrington,E06000007,Upper tier local authority,2020-04-13,0,343
Wandsworth,E09000032,Upper tier local authority,2020-04-13,0,730
Waltham Forest,E09000031,Upper tier local authority,2020-04-13,1,553
Walsall,E08000030,Upper tier local authority,2020-04-13,0,574
Wakefield,E08000036,Upper tier local authority,2020-04-13,0,335
Trafford,E08000009,Upper tier local authority,2020-04-13,0,382
Tower Hamlets,E09000030,Upper tier local authority,2020-04-13,3,496
Torbay,E06000027,Upper tier local authority,2020-04-13,1,101
Thurrock,E06000034,Upper tier local authority,2020-04-13,0,195
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-13,0,137
Tameside,E08000008,Upper tier local authority,2020-04-13,0,285
Swindon,E06000030,Upper tier local authority,2020-04-13,0,187
Sutton,E09000029,Upper tier local authority,2020-04-13,0,427
Surrey,E10000030,Upper tier local authority,2020-04-13,0,1441
Sunderland,E08000024,Upper tier local authority,2020-04-13,0,647
Suffolk,E10000029,Upper tier local authority,2020-04-13,0,493
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-13,2,210
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-13,0,201
Stockport,E08000007,Upper tier local authority,2020-04-13,0,491
Staffordshire,E10000028,Upper tier local authority,2020-04-13,7,970
St. Helens,E08000013,Upper tier local authority,2020-04-13,1,389
Southwark,E09000028,Upper tier local authority,2020-04-13,0,957
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-13,0,220
