Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
England,E92000001,Nation,2020-05-05,43,0,43,129799,128188,1611
South West,E12000009,Region,2020-05-05,3,,,6726,,
South East,E12000008,Region,2020-05-05,9,,,18509,,
London,E12000007,Region,2020-05-05,2,,,25357,,
East of England,E12000006,Region,2020-05-05,1,,,11390,,
West Midlands,E12000005,Region,2020-05-05,5,,,14151,,
East Midlands,E12000004,Region,2020-05-05,3,,,7292,,
Yorkshire and The Humber,E12000003,Region,2020-05-05,18,,,11477,,
North West,E12000002,Region,2020-05-05,2,,,21000,,
North East,E12000001,Region,2020-05-05,0,,,8395,,
Worcestershire,E10000034,Upper tier local authority,2020-05-05,0,,,1207,,
West Sussex,E10000032,Upper tier local authority,2020-05-05,0,,,1211,,
Warwickshire,E10000031,Upper tier local authority,2020-05-05,0,,,1255,,
Surrey,E10000030,Upper tier local authority,2020-05-05,0,,,2677,,
Suffolk,E10000029,Upper tier local authority,2020-05-05,1,,,1159,,
Staffordshire,E10000028,Upper tier local authority,2020-05-05,4,,,1865,,
Somerset,E10000027,Upper tier local authority,2020-05-05,0,,,549,,
Oxfordshire,E10000025,Upper tier local authority,2020-05-05,0,,,1633,,
Nottinghamshire,E10000024,Upper tier local authority,2020-05-05,0,,,1178,,
North Yorkshire,E10000023,Upper tier local authority,2020-05-05,2,,,1073,,
Northamptonshire,E10000021,Upper tier local authority,2020-05-05,1,,,1072,,
Norfolk,E10000020,Upper tier local authority,2020-05-05,0,,,1733,,
Lincolnshire,E10000019,Upper tier local authority,2020-05-05,0,,,896,,
Leicestershire,E10000018,Upper tier local authority,2020-05-05,1,,,995,,
Lancashire,E10000017,Upper tier local authority,2020-05-05,0,,,3010,,
Kent,E10000016,Upper tier local authority,2020-05-05,0,,,3911,,
Hertfordshire,E10000015,Upper tier local authority,2020-05-05,0,,,2434,,
Hampshire,E10000014,Upper tier local authority,2020-05-05,5,,,2944,,
Gloucestershire,E10000013,Upper tier local authority,2020-05-05,0,,,1268,,
Essex,E10000012,Upper tier local authority,2020-05-05,0,,,2725,,
East Sussex,E10000011,Upper tier local authority,2020-05-05,4,,,627,,
Devon,E10000008,Upper tier local authority,2020-05-05,1,,,753,,
Derbyshire,E10000007,Upper tier local authority,2020-05-05,1,,,1355,,
Cumbria,E10000006,Upper tier local authority,2020-05-05,0,,,2012,,
Cambridgeshire,E10000003,Upper tier local authority,2020-05-05,0,,,843,,
Buckinghamshire,E10000002,Upper tier local authority,2020-05-05,0,,,864,,
Westminster,E09000033,Upper tier local authority,2020-05-05,0,,,631,,
Wandsworth,E09000032,Upper tier local authority,2020-05-05,0,,,946,,
Waltham Forest,E09000031,Upper tier local authority,2020-05-05,1,,,733,,
Tower Hamlets,E09000030,Upper tier local authority,2020-05-05,0,,,608,,
Sutton,E09000029,Upper tier local authority,2020-05-05,0,,,697,,
Southwark,E09000028,Upper tier local authority,2020-05-05,0,,,1220,,
Richmond upon Thames,E09000027,Upper tier local authority,2020-05-05,0,,,384,,
Redbridge,E09000026,Upper tier local authority,2020-05-05,0,,,701,,
Newham,E09000025,Upper tier local authority,2020-05-05,0,,,964,,
Merton,E09000024,Upper tier local authority,2020-05-05,0,,,661,,
Lewisham,E09000023,Upper tier local authority,2020-05-05,0,,,944,,
Lambeth,E09000022,Upper tier local authority,2020-05-05,0,,,1160,,
Kingston upon Thames,E09000021,Upper tier local authority,2020-05-05,0,,,475,,
Kensington and Chelsea,E09000020,Upper tier local authority,2020-05-05,0,,,473,,
Islington,E09000019,Upper tier local authority,2020-05-05,1,,,426,,
Hounslow,E09000018,Upper tier local authority,2020-05-05,0,,,680,,
Hillingdon,E09000017,Upper tier local authority,2020-05-05,0,,,738,,
Havering,E09000016,Upper tier local authority,2020-05-05,0,,,662,,
Harrow,E09000015,Upper tier local authority,2020-05-05,0,,,958,,
Haringey,E09000014,Upper tier local authority,2020-05-05,0,,,561,,
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-05-05,0,,,630,,
Hackney,E09000012,Upper tier local authority,2020-05-05,0,,,615,,
Greenwich,E09000011,Upper tier local authority,2020-05-05,0,,,654,,
Enfield,E09000010,Upper tier local authority,2020-05-05,0,,,848,,
Ealing,E09000009,Upper tier local authority,2020-05-05,0,,,1105,,
Croydon,E09000008,Upper tier local authority,2020-05-05,0,,,1430,,
Camden,E09000007,Upper tier local authority,2020-05-05,0,,,588,,
Bromley,E09000006,Upper tier local authority,2020-05-05,0,,,1116,,
Brent,E09000005,Upper tier local authority,2020-05-05,0,,,1389,,
Bexley,E09000004,Upper tier local authority,2020-05-05,0,,,646,,
Barnet,E09000003,Upper tier local authority,2020-05-05,0,,,1233,,
Barking and Dagenham,E09000002,Upper tier local authority,2020-05-05,0,,,465,,
City of London,E09000001,Upper tier local authority,2020-05-05,0,,,16,,
Gateshead,E08000037,Upper tier local authority,2020-05-05,0,,,888,,
Wakefield,E08000036,Upper tier local authority,2020-05-05,4,,,581,,
Leeds,E08000035,Upper tier local authority,2020-05-05,0,,,1534,,
Kirklees,E08000034,Upper tier local authority,2020-05-05,2,,,629,,
Calderdale,E08000033,Upper tier local authority,2020-05-05,0,,,260,,
Bradford,E08000032,Upper tier local authority,2020-05-05,0,,,1022,,
Wolverhampton,E08000031,Upper tier local authority,2020-05-05,0,,,893,,
Walsall,E08000030,Upper tier local authority,2020-05-05,0,,,1021,,
Solihull,E08000029,Upper tier local authority,2020-05-05,0,,,591,,
Sandwell,E08000028,Upper tier local authority,2020-05-05,0,,,1057,,
Dudley,E08000027,Upper tier local authority,2020-05-05,0,,,855,,
Coventry,E08000026,Upper tier local authority,2020-05-05,0,,,720,,
Birmingham,E08000025,Upper tier local authority,2020-05-05,0,,,2977,,
Sunderland,E08000024,Upper tier local authority,2020-05-05,0,,,1227,,
South Tyneside,E08000023,Upper tier local authority,2020-05-05,0,,,611,,
North Tyneside,E08000022,Upper tier local authority,2020-05-05,0,,,495,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-05-05,0,,,955,,
Sheffield,E08000019,Upper tier local authority,2020-05-05,0,,,2250,,
Rotherham,E08000018,Upper tier local authority,2020-05-05,0,,,768,,
Doncaster,E08000017,Upper tier local authority,2020-05-05,0,,,540,,
Barnsley,E08000016,Upper tier local authority,2020-05-05,1,,,710,,
Wirral,E08000015,Upper tier local authority,2020-05-05,0,,,1067,,
Sefton,E08000014,Upper tier local authority,2020-05-05,0,,,846,,
St. Helens,E08000013,Upper tier local authority,2020-05-05,0,,,681,,
Liverpool,E08000012,Upper tier local authority,2020-05-05,0,,,1497,,
Knowsley,E08000011,Upper tier local authority,2020-05-05,1,,,584,,
Wigan,E08000010,Upper tier local authority,2020-05-05,0,,,828,,
Trafford,E08000009,Upper tier local authority,2020-05-05,0,,,644,,
Tameside,E08000008,Upper tier local authority,2020-05-05,0,,,504,,
Stockport,E08000007,Upper tier local authority,2020-05-05,1,,,908,,
Salford,E08000006,Upper tier local authority,2020-05-05,0,,,768,,
Rochdale,E08000005,Upper tier local authority,2020-05-05,0,,,566,,
Oldham,E08000004,Upper tier local authority,2020-05-05,0,,,808,,
Manchester,E08000003,Upper tier local authority,2020-05-05,0,,,1204,,
Bury,E08000002,Upper tier local authority,2020-05-05,0,,,590,,
Bolton,E08000001,Upper tier local authority,2020-05-05,0,,,842,,
Dorset,E06000059,Upper tier local authority,2020-05-05,0,,,340,,
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-05-05,0,,,441,,
Northumberland,E06000057,Upper tier local authority,2020-05-05,0,,,819,,
Central Bedfordshire,E06000056,Upper tier local authority,2020-05-05,0,,,517,,
Bedford,E06000055,Upper tier local authority,2020-05-05,0,,,476,,
Wiltshire,E06000054,Upper tier local authority,2020-05-05,0,,,467,,
