Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
England,E92000001,Nation,2020-05-06,92,0,92,131932,129799,2133
South West,E12000009,Region,2020-05-06,3,,,6825,,
South East,E12000008,Region,2020-05-06,12,,,18696,,
London,E12000007,Region,2020-05-06,5,,,25499,,
East of England,E12000006,Region,2020-05-06,2,,,11632,,
West Midlands,E12000005,Region,2020-05-06,4,,,14350,,
East Midlands,E12000004,Region,2020-05-06,16,,,7393,,
Yorkshire and The Humber,E12000003,Region,2020-05-06,33,,,11749,,
North West,E12000002,Region,2020-05-06,2,,,21600,,
North East,E12000001,Region,2020-05-06,14,,,8644,,
Worcestershire,E10000034,Upper tier local authority,2020-05-06,0,,,1219,,
West Sussex,E10000032,Upper tier local authority,2020-05-06,0,,,1219,,
Warwickshire,E10000031,Upper tier local authority,2020-05-06,0,,,1267,,
Surrey,E10000030,Upper tier local authority,2020-05-06,0,,,2693,,
Suffolk,E10000029,Upper tier local authority,2020-05-06,0,,,1209,,
Staffordshire,E10000028,Upper tier local authority,2020-05-06,2,,,1902,,
Somerset,E10000027,Upper tier local authority,2020-05-06,0,,,556,,
Oxfordshire,E10000025,Upper tier local authority,2020-05-06,0,,,1652,,
Nottinghamshire,E10000024,Upper tier local authority,2020-05-06,2,,,1196,,
North Yorkshire,E10000023,Upper tier local authority,2020-05-06,6,,,1102,,
Northamptonshire,E10000021,Upper tier local authority,2020-05-06,3,,,1084,,
Norfolk,E10000020,Upper tier local authority,2020-05-06,0,,,1789,,
Lincolnshire,E10000019,Upper tier local authority,2020-05-06,0,,,903,,
Leicestershire,E10000018,Upper tier local authority,2020-05-06,1,,,1006,,
Lancashire,E10000017,Upper tier local authority,2020-05-06,0,,,3055,,
Kent,E10000016,Upper tier local authority,2020-05-06,0,,,3968,,
Hertfordshire,E10000015,Upper tier local authority,2020-05-06,2,,,2467,,
Hampshire,E10000014,Upper tier local authority,2020-05-06,6,,,2969,,
Gloucestershire,E10000013,Upper tier local authority,2020-05-06,0,,,1292,,
Essex,E10000012,Upper tier local authority,2020-05-06,0,,,2778,,
East Sussex,E10000011,Upper tier local authority,2020-05-06,5,,,639,,
Devon,E10000008,Upper tier local authority,2020-05-06,0,,,755,,
Derbyshire,E10000007,Upper tier local authority,2020-05-06,9,,,1379,,
Cumbria,E10000006,Upper tier local authority,2020-05-06,0,,,2047,,
Cambridgeshire,E10000003,Upper tier local authority,2020-05-06,0,,,868,,
Buckinghamshire,E10000002,Upper tier local authority,2020-05-06,0,,,868,,
Westminster,E09000033,Upper tier local authority,2020-05-06,0,,,634,,
Wandsworth,E09000032,Upper tier local authority,2020-05-06,0,,,950,,
Waltham Forest,E09000031,Upper tier local authority,2020-05-06,1,,,739,,
Tower Hamlets,E09000030,Upper tier local authority,2020-05-06,0,,,610,,
Sutton,E09000029,Upper tier local authority,2020-05-06,0,,,698,,
Southwark,E09000028,Upper tier local authority,2020-05-06,0,,,1226,,
Richmond upon Thames,E09000027,Upper tier local authority,2020-05-06,0,,,389,,
Redbridge,E09000026,Upper tier local authority,2020-05-06,1,,,705,,
Newham,E09000025,Upper tier local authority,2020-05-06,2,,,968,,
Merton,E09000024,Upper tier local authority,2020-05-06,0,,,665,,
Lewisham,E09000023,Upper tier local authority,2020-05-06,0,,,946,,
Lambeth,E09000022,Upper tier local authority,2020-05-06,0,,,1162,,
Kingston upon Thames,E09000021,Upper tier local authority,2020-05-06,0,,,475,,
Kensington and Chelsea,E09000020,Upper tier local authority,2020-05-06,0,,,475,,
Islington,E09000019,Upper tier local authority,2020-05-06,0,,,428,,
Hounslow,E09000018,Upper tier local authority,2020-05-06,0,,,690,,
Hillingdon,E09000017,Upper tier local authority,2020-05-06,0,,,744,,
Havering,E09000016,Upper tier local authority,2020-05-06,0,,,670,,
Harrow,E09000015,Upper tier local authority,2020-05-06,0,,,966,,
Haringey,E09000014,Upper tier local authority,2020-05-06,0,,,562,,
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-05-06,0,,,636,,
Hackney,E09000012,Upper tier local authority,2020-05-06,1,,,620,,
Greenwich,E09000011,Upper tier local authority,2020-05-06,0,,,660,,
Enfield,E09000010,Upper tier local authority,2020-05-06,0,,,850,,
Ealing,E09000009,Upper tier local authority,2020-05-06,0,,,1108,,
Croydon,E09000008,Upper tier local authority,2020-05-06,0,,,1440,,
Camden,E09000007,Upper tier local authority,2020-05-06,0,,,589,,
Bromley,E09000006,Upper tier local authority,2020-05-06,0,,,1132,,
Brent,E09000005,Upper tier local authority,2020-05-06,0,,,1392,,
Bexley,E09000004,Upper tier local authority,2020-05-06,0,,,653,,
Barnet,E09000003,Upper tier local authority,2020-05-06,0,,,1235,,
Barking and Dagenham,E09000002,Upper tier local authority,2020-05-06,0,,,466,,
City of London,E09000001,Upper tier local authority,2020-05-06,0,,,16,,
Gateshead,E08000037,Upper tier local authority,2020-05-06,4,,,918,,
Wakefield,E08000036,Upper tier local authority,2020-05-06,0,,,588,,
Leeds,E08000035,Upper tier local authority,2020-05-06,2,,,1555,,
Kirklees,E08000034,Upper tier local authority,2020-05-06,0,,,635,,
Calderdale,E08000033,Upper tier local authority,2020-05-06,0,,,262,,
Bradford,E08000032,Upper tier local authority,2020-05-06,2,,,1035,,
Wolverhampton,E08000031,Upper tier local authority,2020-05-06,0,,,908,,
Walsall,E08000030,Upper tier local authority,2020-05-06,0,,,1025,,
Solihull,E08000029,Upper tier local authority,2020-05-06,0,,,602,,
Sandwell,E08000028,Upper tier local authority,2020-05-06,0,,,1067,,
Dudley,E08000027,Upper tier local authority,2020-05-06,0,,,862,,
Coventry,E08000026,Upper tier local authority,2020-05-06,0,,,724,,
Birmingham,E08000025,Upper tier local authority,2020-05-06,0,,,3011,,
Sunderland,E08000024,Upper tier local authority,2020-05-06,6,,,1268,,
South Tyneside,E08000023,Upper tier local authority,2020-05-06,3,,,633,,
North Tyneside,E08000022,Upper tier local authority,2020-05-06,0,,,503,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-05-06,0,,,973,,
Sheffield,E08000019,Upper tier local authority,2020-05-06,9,,,2306,,
Rotherham,E08000018,Upper tier local authority,2020-05-06,1,,,782,,
Doncaster,E08000017,Upper tier local authority,2020-05-06,0,,,580,,
Barnsley,E08000016,Upper tier local authority,2020-05-06,5,,,737,,
Wirral,E08000015,Upper tier local authority,2020-05-06,0,,,1075,,
Sefton,E08000014,Upper tier local authority,2020-05-06,1,,,849,,
St. Helens,E08000013,Upper tier local authority,2020-05-06,0,,,686,,
Liverpool,E08000012,Upper tier local authority,2020-05-06,0,,,1500,,
Knowsley,E08000011,Upper tier local authority,2020-05-06,0,,,591,,
Wigan,E08000010,Upper tier local authority,2020-05-06,0,,,910,,
Trafford,E08000009,Upper tier local authority,2020-05-06,0,,,658,,
Tameside,E08000008,Upper tier local authority,2020-05-06,0,,,513,,
Stockport,E08000007,Upper tier local authority,2020-05-06,1,,,928,,
Salford,E08000006,Upper tier local authority,2020-05-06,0,,,844,,
Rochdale,E08000005,Upper tier local authority,2020-05-06,0,,,622,,
Oldham,E08000004,Upper tier local authority,2020-05-06,0,,,886,,
Manchester,E08000003,Upper tier local authority,2020-05-06,0,,,1257,,
Bury,E08000002,Upper tier local authority,2020-05-06,0,,,628,,
Bolton,E08000001,Upper tier local authority,2020-05-06,0,,,865,,
Dorset,E06000059,Upper tier local authority,2020-05-06,0,,,343,,
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-05-06,0,,,441,,
Northumberland,E06000057,Upper tier local authority,2020-05-06,0,,,832,,
Central Bedfordshire,E06000056,Upper tier local authority,2020-05-06,0,,,521,,
Bedford,E06000055,Upper tier local authority,2020-05-06,0,,,486,,
Wiltshire,E06000054,Upper tier local authority,2020-05-06,1,,,476,,
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-05-06,2,,,531,,
Shropshire,E06000051,Upper tier local authority,2020-05-06,0,,,571,,
Cheshire West and Chester,E06000050,Upper tier local authority,2020-05-06,0,,,890,,
Cheshire East,E06000049,Upper tier local authority,2020-05-06,0,,,966,,
County Durham,E06000047,Upper tier local authority,2020-05-06,1,,,1618,,
Isle of Wight,E06000046,Upper tier local authority,2020-05-06,0,,,149,,
Southampton,E06000045,Upper tier local authority,2020-05-06,1,,,519,,
Portsmouth,E06000044,Upper tier local authority,2020-05-06,0,,,299,,
Brighton and Hove,E06000043,Upper tier local authority,2020-05-06,0,,,396,,
Milton Keynes,E06000042,Upper tier local authority,2020-05-06,0,,,484,,
Wokingham,E06000041,Upper tier local authority,2020-05-06,0,,,400,,
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-05-06,0,,,268,,
Slough,E06000039,Upper tier local authority,2020-05-06,0,,,424,,
Reading,E06000038,Upper tier local authority,2020-05-06,0,,,517,,
West Berkshire,E06000037,Upper tier local authority,2020-05-06,0,,,339,,
Bracknell Forest,E06000036,Upper tier local authority,2020-05-06,0,,,226,,
Medway,E06000035,Upper tier local authority,2020-05-06,0,,,667,,
Thurrock,E06000034,Upper tier local authority,2020-05-06,0,,,293,,
Southend-on-Sea,E06000033,Upper tier local authority,2020-05-06,0,,,309,,
Luton,E06000032,Upper tier local authority,2020-05-06,0,,,628,,
