Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,2020-04-14,4,149
Worcestershire,E10000034,Upper tier local authority,2020-04-14,0,693
Wolverhampton,E08000031,Upper tier local authority,2020-04-14,0,473
Wokingham,E06000041,Upper tier local authority,2020-04-14,0,193
Wirral,E08000015,Upper tier local authority,2020-04-14,0,593
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-14,0,162
Wiltshire,E06000054,Upper tier local authority,2020-04-14,0,256
Wigan,E08000010,Upper tier local authority,2020-04-14,0,330
Westminster,E09000033,Upper tier local authority,2020-04-14,0,499
West Sussex,E10000032,Upper tier local authority,2020-04-14,1,487
West Berkshire,E06000037,Upper tier local authority,2020-04-14,1,180
Warwickshire,E10000031,Upper tier local authority,2020-04-14,0,673
Warrington,E06000007,Upper tier local authority,2020-04-14,0,363
Wandsworth,E09000032,Upper tier local authority,2020-04-14,0,748
Waltham Forest,E09000031,Upper tier local authority,2020-04-14,4,574
Walsall,E08000030,Upper tier local authority,2020-04-14,0,582
Wakefield,E08000036,Upper tier local authority,2020-04-14,0,353
Trafford,E08000009,Upper tier local authority,2020-04-14,0,388
Tower Hamlets,E09000030,Upper tier local authority,2020-04-14,3,509
Torbay,E06000027,Upper tier local authority,2020-04-14,0,103
Thurrock,E06000034,Upper tier local authority,2020-04-14,0,201
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-14,0,139
Tameside,E08000008,Upper tier local authority,2020-04-14,0,308
Swindon,E06000030,Upper tier local authority,2020-04-14,0,199
Sutton,E09000029,Upper tier local authority,2020-04-14,0,436
Surrey,E10000030,Upper tier local authority,2020-04-14,0,1649
Sunderland,E08000024,Upper tier local authority,2020-04-14,0,690
Suffolk,E10000029,Upper tier local authority,2020-04-14,0,499
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-14,5,230
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-14,0,209
Stockport,E08000007,Upper tier local authority,2020-04-14,0,511
Staffordshire,E10000028,Upper tier local authority,2020-04-14,6,1008
St. Helens,E08000013,Upper tier local authority,2020-04-14,1,399
Southwark,E09000028,Upper tier local authority,2020-04-14,0,972
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-14,0,224
Southampton,E06000045,Upper tier local authority,2020-04-14,5,283
South Tyneside,E08000023,Upper tier local authority,2020-04-14,0,233
South Gloucestershire,E06000025,Upper tier local authority,2020-04-14,0,222
Somerset,E10000027,Upper tier local authority,2020-04-14,0,233
Solihull,E08000029,Upper tier local authority,2020-04-14,0,364
Slough,E06000039,Upper tier local authority,2020-04-14,0,256
Shropshire,E06000051,Upper tier local authority,2020-04-14,0,265
Sheffield,E08000019,Upper tier local authority,2020-04-14,5,1365
Sefton,E08000014,Upper tier local authority,2020-04-14,0,532
Sandwell,E08000028,Upper tier local authority,2020-04-14,0,593
Salford,E08000006,Upper tier local authority,2020-04-14,0,368
Rutland,E06000017,Upper tier local authority,2020-04-14,0,12
Rotherham,E08000018,Upper tier local authority,2020-04-14,0,383
Rochdale,E08000005,Upper tier local authority,2020-04-14,0,275
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-14,0,286
Redcar and Cleveland,E06000003,Upper tier local authority,2020-04-14,0,184
Redbridge,E09000026,Upper tier local authority,2020-04-14,1,534
Reading,E06000038,Upper tier local authority,2020-04-14,0,224
Portsmouth,E06000044,Upper tier local authority,2020-04-14,1,193
Plymouth,E06000026,Upper tier local authority,2020-04-14,2,163
Peterborough,E06000031,Upper tier local authority,2020-04-14,0,108
Oxfordshire,E10000025,Upper tier local authority,2020-04-14,0,948
Oldham,E08000004,Upper tier local authority,2020-04-14,0,370
Nottinghamshire,E10000024,Upper tier local authority,2020-04-14,1,693
Nottingham,E06000018,Upper tier local authority,2020-04-14,1,334
Northumberland,E06000057,Upper tier local authority,2020-04-14,0,450
Northamptonshire,E10000021,Upper tier local authority,2020-04-14,0,767
North Yorkshire,E10000023,Upper tier local authority,2020-04-14,1,532
North Tyneside,E08000022,Upper tier local authority,2020-04-14,0,321
North Somerset,E06000024,Upper tier local authority,2020-04-14,0,124
North Lincolnshire,E06000013,Upper tier local authority,2020-04-14,0,136
North East Lincolnshire,E06000012,Upper tier local authority,2020-04-14,0,84
Norfolk,E10000020,Upper tier local authority,2020-04-14,0,754
Newham,E09000025,Upper tier local authority,2020-04-14,2,796
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-14,0,611
Milton Keynes,E06000042,Upper tier local authority,2020-04-14,0,316
Middlesbrough,E06000002,Upper tier local authority,2020-04-14,0,302
Merton,E09000024,Upper tier local authority,2020-04-14,0,504
Medway,E06000035,Upper tier local authority,2020-04-14,1,409
Manchester,E08000003,Upper tier local authority,2020-04-14,0,724
Luton,E06000032,Upper tier local authority,2020-04-14,0,367
Liverpool,E08000012,Upper tier local authority,2020-04-14,0,979
Lincolnshire,E10000019,Upper tier local authority,2020-04-14,0,503
Lewisham,E09000023,Upper tier local authority,2020-04-14,5,721
Leicestershire,E10000018,Upper tier local authority,2020-04-14,4,564
Leicester,E06000016,Upper tier local authority,2020-04-14,3,416
Leeds,E08000035,Upper tier local authority,2020-04-14,0,779
Lancashire,E10000017,Upper tier local authority,2020-04-14,0,1692
Lambeth,E09000022,Upper tier local authority,2020-04-14,0,926
Knowsley,E08000011,Upper tier local authority,2020-04-14,0,329
Kirklees,E08000034,Upper tier local authority,2020-04-14,6,369
Kingston upon Thames,E09000021,Upper tier local authority,2020-04-14,0,301
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-04-14,0,150
Kent,E10000016,Upper tier local authority,2020-04-14,0,1802
Kensington and Chelsea,E09000020,Upper tier local authority,2020-04-14,0,367
Islington,E09000019,Upper tier local authority,2020-04-14,1,331
Isle of Wight,E06000046,Upper tier local authority,2020-04-14,0,55
Hounslow,E09000018,Upper tier local authority,2020-04-14,0,495
Hillingdon,E09000017,Upper tier local authority,2020-04-14,0,530
Hertfordshire,E10000015,Upper tier local authority,2020-04-14,0,1552
"Herefordshire, County of",E06000019,Upper tier local authority,2020-04-14,0,122
Havering,E09000016,Upper tier local authority,2020-04-14,3,491
Hartlepool,E06000001,Upper tier local authority,2020-04-14,0,75
Harrow,E09000015,Upper tier local authority,2020-04-14,0,684
Haringey,E09000014,Upper tier local authority,2020-04-14,0,419
Hampshire,E10000014,Upper tier local authority,2020-04-14,12,1802
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-04-14,0,395
Halton,E06000006,Upper tier local authority,2020-04-14,0,215
Hackney,E09000012,Upper tier local authority,2020-04-14,2,516
Greenwich,E09000011,Upper tier local authority,2020-04-14,10,503
Gloucestershire,E10000013,Upper tier local authority,2020-04-14,1,737
Gateshead,E08000037,Upper tier local authority,2020-04-14,0,466
Essex,E10000012,Upper tier local authority,2020-04-14,1,1589
Enfield,E09000010,Upper tier local authority,2020-04-14,0,562
East Sussex,E10000011,Upper tier local authority,2020-04-14,8,373
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-04-14,0,248
Ealing,E09000009,Upper tier local authority,2020-04-14,0,772
Dudley,E08000027,Upper tier local authority,2020-04-14,0,475
Dorset,E06000059,Upper tier local authority,2020-04-14,0,209
Doncaster,E08000017,Upper tier local authority,2020-04-14,0,210
Devon,E10000008,Upper tier local authority,2020-04-14,0,426
Derbyshire,E10000007,Upper tier local authority,2020-04-14,0,777
