Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,2020-04-11,1,125
Worcestershire,E10000034,Upper tier local authority,2020-04-11,0,580
Wolverhampton,E08000031,Upper tier local authority,2020-04-11,0,430
Wokingham,E06000041,Upper tier local authority,2020-04-11,0,152
Wirral,E08000015,Upper tier local authority,2020-04-11,0,489
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-11,0,136
Wiltshire,E06000054,Upper tier local authority,2020-04-11,0,229
Wigan,E08000010,Upper tier local authority,2020-04-11,0,279
Westminster,E09000033,Upper tier local authority,2020-04-11,0,470
West Sussex,E10000032,Upper tier local authority,2020-04-11,0,386
West Berkshire,E06000037,Upper tier local authority,2020-04-11,0,144
Warwickshire,E10000031,Upper tier local authority,2020-04-11,0,575
Warrington,E06000007,Upper tier local authority,2020-04-11,0,303
Wandsworth,E09000032,Upper tier local authority,2020-04-11,0,694
Waltham Forest,E09000031,Upper tier local authority,2020-04-11,0,517
Walsall,E08000030,Upper tier local authority,2020-04-11,0,480
Wakefield,E08000036,Upper tier local authority,2020-04-11,0,290
Trafford,E08000009,Upper tier local authority,2020-04-11,0,344
Tower Hamlets,E09000030,Upper tier local authority,2020-04-11,3,473
Torbay,E06000027,Upper tier local authority,2020-04-11,1,96
Thurrock,E06000034,Upper tier local authority,2020-04-11,0,185
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-11,0,127
Tameside,E08000008,Upper tier local authority,2020-04-11,0,263
Swindon,E06000030,Upper tier local authority,2020-04-11,0,159
Sutton,E09000029,Upper tier local authority,2020-04-11,0,413
Surrey,E10000030,Upper tier local authority,2020-04-11,0,1332
Sunderland,E08000024,Upper tier local authority,2020-04-11,7,367
Suffolk,E10000029,Upper tier local authority,2020-04-11,0,421
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-11,1,190
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-11,0,191
Stockport,E08000007,Upper tier local authority,2020-04-11,0,430
Staffordshire,E10000028,Upper tier local authority,2020-04-11,6,873
St. Helens,E08000013,Upper tier local authority,2020-04-11,0,361
Southwark,E09000028,Upper tier local authority,2020-04-11,0,894
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-11,0,207
Southampton,E06000045,Upper tier local authority,2020-04-11,1,229
South Tyneside,E08000023,Upper tier local authority,2020-04-11,2,126
South Gloucestershire,E06000025,Upper tier local authority,2020-04-11,1,208
