Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,2020-04-12,0,128
Worcestershire,E10000034,Upper tier local authority,2020-04-12,0,606
Wolverhampton,E08000031,Upper tier local authority,2020-04-12,0,446
Wokingham,E06000041,Upper tier local authority,2020-04-12,0,153
Wirral,E08000015,Upper tier local authority,2020-04-12,0,526
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-12,0,139
Wiltshire,E06000054,Upper tier local authority,2020-04-12,0,236
Wigan,E08000010,Upper tier local authority,2020-04-12,0,293
Westminster,E09000033,Upper tier local authority,2020-04-12,1,481
West Sussex,E10000032,Upper tier local authority,2020-04-12,0,397
West Berkshire,E06000037,Upper tier local authority,2020-04-12,0,146
Warwickshire,E10000031,Upper tier local authority,2020-04-12,0,629
Warrington,E06000007,Upper tier local authority,2020-04-12,0,328
Wandsworth,E09000032,Upper tier local authority,2020-04-12,0,718
Waltham Forest,E09000031,Upper tier local authority,2020-04-12,1,537
Walsall,E08000030,Upper tier local authority,2020-04-12,0,485
Wakefield,E08000036,Upper tier local authority,2020-04-12,0,321
Trafford,E08000009,Upper tier local authority,2020-04-12,0,366
Tower Hamlets,E09000030,Upper tier local authority,2020-04-12,0,483
Torbay,E06000027,Upper tier local authority,2020-04-12,2,98
Thurrock,E06000034,Upper tier local authority,2020-04-12,0,190
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-12,0,132
Tameside,E08000008,Upper tier local authority,2020-04-12,0,276
Swindon,E06000030,Upper tier local authority,2020-04-12,0,176
Sutton,E09000029,Upper tier local authority,2020-04-12,0,417
Surrey,E10000030,Upper tier local authority,2020-04-12,0,1342
Sunderland,E08000024,Upper tier local authority,2020-04-12,0,367
Suffolk,E10000029,Upper tier local authority,2020-04-12,0,457
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-12,3,200
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-12,0,195
Stockport,E08000007,Upper tier local authority,2020-04-12,0,464
Staffordshire,E10000028,Upper tier local authority,2020-04-12,8,922
St. Helens,E08000013,Upper tier local authority,2020-04-12,0,369
Southwark,E09000028,Upper tier local authority,2020-04-12,0,933
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-12,0,213
Southampton,E06000045,Upper tier local authority,2020-04-12,0,231
South Tyneside,E08000023,Upper tier local authority,2020-04-12,0,126
South Gloucestershire,E06000025,Upper tier local authority,2020-04-12,0,217
Somerset,E10000027,Upper tier local authority,2020-04-12,0,207
Solihull,E08000029,Upper tier local authority,2020-04-12,0,344
Slough,E06000039,Upper tier local authority,2020-04-12,0,207
Shropshire,E06000051,Upper tier local authority,2020-04-12,0,240
Sheffield,E08000019,Upper tier local authority,2020-04-12,2,1248
Sefton,E08000014,Upper tier local authority,2020-04-12,0,469
Sandwell,E08000028,Upper tier local authority,2020-04-12,0,535
Salford,E08000006,Upper tier local authority,2020-04-12,0,345
Rutland,E06000017,Upper tier local authority,2020-04-12,0,9
Rotherham,E08000018,Upper tier local authority,2020-04-12,0,349
Rochdale,E08000005,Upper tier local authority,2020-04-12,0,267
