Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
Solihull,E08000029,Upper tier local authority,2020-05-02,0,,,578,,
Sandwell,E08000028,Upper tier local authority,2020-05-02,0,,,1026,,
Dudley,E08000027,Upper tier local authority,2020-05-02,0,,,785,,
Coventry,E08000026,Upper tier local authority,2020-05-02,0,,,674,,
Birmingham,E08000025,Upper tier local authority,2020-05-02,0,,,2904,,
Sunderland,E08000024,Upper tier local authority,2020-05-02,2,,,1206,,
South Tyneside,E08000023,Upper tier local authority,2020-05-02,0,,,595,,
North Tyneside,E08000022,Upper tier local authority,2020-05-02,0,,,489,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-05-02,0,,,939,,
Sheffield,E08000019,Upper tier local authority,2020-05-02,2,,,2191,,
Rotherham,E08000018,Upper tier local authority,2020-05-02,0,,,736,,
Doncaster,E08000017,Upper tier local authority,2020-05-02,0,,,494,,
Barnsley,E08000016,Upper tier local authority,2020-05-02,1,,,678,,
Wirral,E08000015,Upper tier local authority,2020-05-02,1,,,1029,,
Sefton,E08000014,Upper tier local authority,2020-05-02,0,,,829,,
St. Helens,E08000013,Upper tier local authority,2020-05-02,0,,,660,,
Liverpool,E08000012,Upper tier local authority,2020-05-02,0,,,1454,,
Knowsley,E08000011,Upper tier local authority,2020-05-02,0,,,566,,
Wigan,E08000010,Upper tier local authority,2020-05-02,0,,,768,,
Trafford,E08000009,Upper tier local authority,2020-05-02,1,,,622,,
Tameside,E08000008,Upper tier local authority,2020-05-02,0,,,474,,
Stockport,E08000007,Upper tier local authority,2020-05-02,1,,,873,,
Salford,E08000006,Upper tier local authority,2020-05-02,0,,,714,,
Rochdale,E08000005,Upper tier local authority,2020-05-02,0,,,527,,
Oldham,E08000004,Upper tier local authority,2020-05-02,0,,,758,,
Manchester,E08000003,Upper tier local authority,2020-05-02,0,,,1154,,
Bury,E08000002,Upper tier local authority,2020-05-02,0,,,549,,
Bolton,E08000001,Upper tier local authority,2020-05-02,0,,,807,,
Dorset,E06000059,Upper tier local authority,2020-05-02,3,,,324,,
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-05-02,0,,,413,,
Northumberland,E06000057,Upper tier local authority,2020-05-02,0,,,801,,
Central Bedfordshire,E06000056,Upper tier local authority,2020-05-02,0,,,509,,
Bedford,E06000055,Upper tier local authority,2020-05-02,0,,,452,,
Wiltshire,E06000054,Upper tier local authority,2020-05-02,0,,,450,,
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-05-02,1,,,507,,
Shropshire,E06000051,Upper tier local authority,2020-05-02,0,,,518,,
Cheshire West and Chester,E06000050,Upper tier local authority,2020-05-02,0,,,841,,
Cheshire East,E06000049,Upper tier local authority,2020-05-02,0,,,908,,
County Durham,E06000047,Upper tier local authority,2020-05-02,0,,,1504,,
Isle of Wight,E06000046,Upper tier local authority,2020-05-02,0,,,127,,
Southampton,E06000045,Upper tier local authority,2020-05-02,2,,,491,,
Portsmouth,E06000044,Upper tier local authority,2020-05-02,0,,,292,,
Brighton and Hove,E06000043,Upper tier local authority,2020-05-02,0,,,381,,
Milton Keynes,E06000042,Upper tier local authority,2020-05-02,0,,,475,,
Wokingham,E06000041,Upper tier local authority,2020-05-02,0,,,377,,
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-05-02,0,,,256,,
Slough,E06000039,Upper tier local authority,2020-05-02,0,,,389,,
Reading,E06000038,Upper tier local authority,2020-05-02,0,,,496,,
West Berkshire,E06000037,Upper tier local authority,2020-05-02,1,,,328,,
Bracknell Forest,E06000036,Upper tier local authority,2020-05-02,0,,,217,,
Medway,E06000035,Upper tier local authority,2020-05-02,0,,,635,,
Thurrock,E06000034,Upper tier local authority,2020-05-02,0,,,282,,
Southend-on-Sea,E06000033,Upper tier local authority,2020-05-02,0,,,300,,
Luton,E06000032,Upper tier local authority,2020-05-02,0,,,626,,
Peterborough,E06000031,Upper tier local authority,2020-05-02,0,,,257,,
Swindon,E06000030,Upper tier local authority,2020-05-02,0,,,372,,
Torbay,E06000027,Upper tier local authority,2020-05-02,2,,,206,,
Plymouth,E06000026,Upper tier local authority,2020-05-02,0,,,297,,
South Gloucestershire,E06000025,Upper tier local authority,2020-05-02,0,,,352,,
North Somerset,E06000024,Upper tier local authority,2020-05-02,0,,,254,,
"Bristol, City of",E06000023,Upper tier local authority,2020-05-02,0,,,626,,
Bath and North East Somerset,E06000022,Upper tier local authority,2020-05-02,0,,,212,,
Stoke-on-Trent,E06000021,Upper tier local authority,2020-05-02,4,,,509,,
Telford and Wrekin,E06000020,Upper tier local authority,2020-05-02,0,,,277,,
"Herefordshire, County of",E06000019,Upper tier local authority,2020-05-02,0,,,307,,
Nottingham,E06000018,Upper tier local authority,2020-05-02,1,,,537,,
Rutland,E06000017,Upper tier local authority,2020-05-02,0,,,20,,
Leicester,E06000016,Upper tier local authority,2020-05-02,0,,,676,,
Derby,E06000015,Upper tier local authority,2020-05-02,0,,,500,,
York,E06000014,Upper tier local authority,2020-05-02,2,,,315,,
North Lincolnshire,E06000013,Upper tier local authority,2020-05-02,0,,,378,,
North East Lincolnshire,E06000012,Upper tier local authority,2020-05-02,0,,,135,,
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-05-02,0,,,616,,
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-05-02,0,,,469,,
Blackpool,E06000009,Upper tier local authority,2020-05-02,0,,,465,,
Blackburn with Darwen,E06000008,Upper tier local authority,2020-05-02,0,,,331,,
Warrington,E06000007,Upper tier local authority,2020-05-02,0,,,635,,
Halton,E06000006,Upper tier local authority,2020-05-02,0,,,329,,
Darlington,E06000005,Upper tier local authority,2020-05-02,0,,,297,,
Stockton-on-Tees,E06000004,Upper tier local authority,2020-05-02,0,,,365,,
Redcar and Cleveland,E06000003,Upper tier local authority,2020-05-02,0,,,330,,
Middlesbrough,E06000002,Upper tier local authority,2020-05-02,0,,,566,,
Hartlepool,E06000001,Upper tier local authority,2020-05-02,0,,,197,,
England,E92000001,Nation,2020-05-01,562,95,467,124807,122842,1965
South West,E12000009,Region,2020-05-01,48,,,6483,,
South East,E12000008,Region,2020-05-01,61,,,17525,,
London,E12000007,Region,2020-05-01,41,,,24826,,
East of England,E12000006,Region,2020-05-01,32,,,10942,,
West Midlands,E12000005,Region,2020-05-01,35,,,13571,,
East Midlands,E12000004,Region,2020-05-01,49,,,7073,,
Yorkshire and The Humber,E12000003,Region,2020-05-01,93,,,10786,,
North West,E12000002,Region,2020-05-01,72,,,20122,,
North East,E12000001,Region,2020-05-01,112,,,8159,,
West Sussex,E10000032,Upper tier local authority,2020-05-01,1,,,1172,,
Surrey,E10000030,Upper tier local authority,2020-05-01,2,,,2608,,
Suffolk,E10000029,Upper tier local authority,2020-05-01,7,,,1105,,
Staffordshire,E10000028,Upper tier local authority,2020-05-01,9,,,1785,,
Somerset,E10000027,Upper tier local authority,2020-05-01,3,,,518,,
Oxfordshire,E10000025,Upper tier local authority,2020-05-01,2,,,1583,,
Nottinghamshire,E10000024,Upper tier local authority,2020-05-01,7,,,1147,,
North Yorkshire,E10000023,Upper tier local authority,2020-05-01,13,,,997,,
Northamptonshire,E10000021,Upper tier local authority,2020-05-01,2,,,1056,,
Norfolk,E10000020,Upper tier local authority,2020-05-01,16,,,1625,,
Lincolnshire,E10000019,Upper tier local authority,2020-05-01,9,,,870,,
Leicestershire,E10000018,Upper tier local authority,2020-05-01,2,,,948,,
Lancashire,E10000017,Upper tier local authority,2020-05-01,6,,,2878,,
Kent,E10000016,Upper tier local authority,2020-05-01,9,,,3418,,
Hertfordshire,E10000015,Upper tier local authority,2020-05-01,3,,,2341,,
Hampshire,E10000014,Upper tier local authority,2020-05-01,23,,,2853,,
Gloucestershire,E10000013,Upper tier local authority,2020-05-01,1,,,1231,,
Essex,E10000012,Upper tier local authority,2020-05-01,5,,,2650,,
East Sussex,E10000011,Upper tier local authority,2020-05-01,1,,,592,,
Devon,E10000008,Upper tier local authority,2020-05-01,8,,,727,,
Derbyshire,E10000007,Upper tier local authority,2020-05-01,14,,,1320,,
