Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,2020-04-24,1,232
Worcestershire,E10000034,Upper tier local authority,2020-04-24,0,1021
Wolverhampton,E08000031,Upper tier local authority,2020-04-24,0,693
Wokingham,E06000041,Upper tier local authority,2020-04-24,1,325
Wirral,E08000015,Upper tier local authority,2020-04-24,0,901
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-24,0,219
Wiltshire,E06000054,Upper tier local authority,2020-04-24,0,385
Wigan,E08000010,Upper tier local authority,2020-04-24,0,549
Westminster,E09000033,Upper tier local authority,2020-04-24,0,573
West Sussex,E10000032,Upper tier local authority,2020-04-24,3,997
West Berkshire,E06000037,Upper tier local authority,2020-04-24,0,283
Warwickshire,E10000031,Upper tier local authority,2020-04-24,0,1008
Warrington,E06000007,Upper tier local authority,2020-04-24,0,533
Wandsworth,E09000032,Upper tier local authority,2020-04-24,0,883
Waltham Forest,E09000031,Upper tier local authority,2020-04-24,3,693
Walsall,E08000030,Upper tier local authority,2020-04-24,0,798
Wakefield,E08000036,Upper tier local authority,2020-04-24,0,461
Trafford,E08000009,Upper tier local authority,2020-04-24,0,534
Tower Hamlets,E09000030,Upper tier local authority,2020-04-24,0,586
Torbay,E06000027,Upper tier local authority,2020-04-24,0,182
Thurrock,E06000034,Upper tier local authority,2020-04-24,0,256
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-24,0,219
Tameside,E08000008,Upper tier local authority,2020-04-24,0,417
Swindon,E06000030,Upper tier local authority,2020-04-24,0,332
Sutton,E09000029,Upper tier local authority,2020-04-24,0,631
Surrey,E10000030,Upper tier local authority,2020-04-24,0,2333
Sunderland,E08000024,Upper tier local authority,2020-04-24,14,1066
Suffolk,E10000029,Upper tier local authority,2020-04-24,1,877
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-24,9,380
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-24,0,320
Stockport,E08000007,Upper tier local authority,2020-04-24,2,729
Staffordshire,E10000028,Upper tier local authority,2020-04-24,5,1506
St. Helens,E08000013,Upper tier local authority,2020-04-24,1,576
Southwark,E09000028,Upper tier local authority,2020-04-24,0,1142
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-24,0,275
Southampton,E06000045,Upper tier local authority,2020-04-24,1,429
South Tyneside,E08000023,Upper tier local authority,2020-04-24,11,464
South Gloucestershire,E06000025,Upper tier local authority,2020-04-24,0,312
Somerset,E10000027,Upper tier local authority,2020-04-24,0,428
Solihull,E08000029,Upper tier local authority,2020-04-24,0,496
Slough,E06000039,Upper tier local authority,2020-04-24,0,345
Shropshire,E06000051,Upper tier local authority,2020-04-24,0,409
Sheffield,E08000019,Upper tier local authority,2020-04-24,26,1901
Sefton,E08000014,Upper tier local authority,2020-04-24,1,739
Sandwell,E08000028,Upper tier local authority,2020-04-24,0,870
Salford,E08000006,Upper tier local authority,2020-04-24,0,528
Rutland,E06000017,Upper tier local authority,2020-04-24,0,18
Rotherham,E08000018,Upper tier local authority,2020-04-24,7,589
Rochdale,E08000005,Upper tier local authority,2020-04-24,0,395
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-24,0,352
Redcar and Cleveland,E06000003,Upper tier local authority,2020-04-24,0,269
Redbridge,E09000026,Upper tier local authority,2020-04-24,0,645
Reading,E06000038,Upper tier local authority,2020-04-24,0,410
Portsmouth,E06000044,Upper tier local authority,2020-04-24,0,260
Plymouth,E06000026,Upper tier local authority,2020-04-24,2,266
Peterborough,E06000031,Upper tier local authority,2020-04-24,0,188
Oxfordshire,E10000025,Upper tier local authority,2020-04-24,0,1369
Oldham,E08000004,Upper tier local authority,2020-04-24,0,549
Nottinghamshire,E10000024,Upper tier local authority,2020-04-24,1,993
Nottingham,E06000018,Upper tier local authority,2020-04-24,1,468
Northumberland,E06000057,Upper tier local authority,2020-04-24,0,692
Northamptonshire,E10000021,Upper tier local authority,2020-04-24,1,975
North Yorkshire,E10000023,Upper tier local authority,2020-04-24,3,776
North Tyneside,E08000022,Upper tier local authority,2020-04-24,0,429
North Somerset,E06000024,Upper tier local authority,2020-04-24,0,200
North Lincolnshire,E06000013,Upper tier local authority,2020-04-24,0,280
North East Lincolnshire,E06000012,Upper tier local authority,2020-04-24,0,123
Norfolk,E10000020,Upper tier local authority,2020-04-24,0,1268
Newham,E09000025,Upper tier local authority,2020-04-24,2,922
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-24,1,811
