Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,2020-04-08,2,101
Worcestershire,E10000034,Upper tier local authority,2020-04-08,1,472
Wolverhampton,E08000031,Upper tier local authority,2020-04-08,0,367
Wokingham,E06000041,Upper tier local authority,2020-04-08,0,139
Wirral,E08000015,Upper tier local authority,2020-04-08,0,353
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-08,0,126
Wiltshire,E06000054,Upper tier local authority,2020-04-08,0,196
Wigan,E08000010,Upper tier local authority,2020-04-08,0,220
Westminster,E09000033,Upper tier local authority,2020-04-08,0,422
West Sussex,E10000032,Upper tier local authority,2020-04-08,0,329
West Berkshire,E06000037,Upper tier local authority,2020-04-08,1,131
Warwickshire,E10000031,Upper tier local authority,2020-04-08,0,458
Warrington,E06000007,Upper tier local authority,2020-04-08,0,213
Wandsworth,E09000032,Upper tier local authority,2020-04-08,0,627
Waltham Forest,E09000031,Upper tier local authority,2020-04-08,2,463
Walsall,E08000030,Upper tier local authority,2020-04-08,0,435
Wakefield,E08000036,Upper tier local authority,2020-04-08,0,229
Trafford,E08000009,Upper tier local authority,2020-04-08,0,273
Tower Hamlets,E09000030,Upper tier local authority,2020-04-08,7,428
Torbay,E06000027,Upper tier local authority,2020-04-08,0,66
Thurrock,E06000034,Upper tier local authority,2020-04-08,2,145
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-08,0,104
Tameside,E08000008,Upper tier local authority,2020-04-08,0,217
Swindon,E06000030,Upper tier local authority,2020-04-08,0,110
Sutton,E09000029,Upper tier local authority,2020-04-08,0,324
Surrey,E10000030,Upper tier local authority,2020-04-08,2,1172
Sunderland,E08000024,Upper tier local authority,2020-04-08,4,350
Suffolk,E10000029,Upper tier local authority,2020-04-08,0,314
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-08,2,137
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-08,4,151
Stockport,E08000007,Upper tier local authority,2020-04-08,0,338
Staffordshire,E10000028,Upper tier local authority,2020-04-08,4,699
St. Helens,E08000013,Upper tier local authority,2020-04-08,0,305
Southwark,E09000028,Upper tier local authority,2020-04-08,1,794
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-08,0,159
Southampton,E06000045,Upper tier local authority,2020-04-08,0,193
South Tyneside,E08000023,Upper tier local authority,2020-04-08,0,120
South Gloucestershire,E06000025,Upper tier local authority,2020-04-08,1,162
Somerset,E10000027,Upper tier local authority,2020-04-08,0,152
Solihull,E08000029,Upper tier local authority,2020-04-08,0,267
Slough,E06000039,Upper tier local authority,2020-04-08,0,195
Shropshire,E06000051,Upper tier local authority,2020-04-08,0,183
Sheffield,E08000019,Upper tier local authority,2020-04-08,12,1021
Sefton,E08000014,Upper tier local authority,2020-04-08,0,351
Sandwell,E08000028,Upper tier local authority,2020-04-08,0,434
Salford,E08000006,Upper tier local authority,2020-04-08,0,285
Rutland,E06000017,Upper tier local authority,2020-04-08,0,8
Rotherham,E08000018,Upper tier local authority,2020-04-08,0,259
Rochdale,E08000005,Upper tier local authority,2020-04-08,0,209
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-08,0,235
Redcar and Cleveland,E06000003,Upper tier local authority,2020-04-08,0,128
Redbridge,E09000026,Upper tier local authority,2020-04-08,2,399
Reading,E06000038,Upper tier local authority,2020-04-08,1,142
Portsmouth,E06000044,Upper tier local authority,2020-04-08,0,136
Plymouth,E06000026,Upper tier local authority,2020-04-08,0,112
Peterborough,E06000031,Upper tier local authority,2020-04-08,0,85
Oxfordshire,E10000025,Upper tier local authority,2020-04-08,0,584
Oldham,E08000004,Upper tier local authority,2020-04-08,0,267
Nottinghamshire,E10000024,Upper tier local authority,2020-04-08,12,537
Nottingham,E06000018,Upper tier local authority,2020-04-08,11,261
Northumberland,E06000057,Upper tier local authority,2020-04-08,13,297
Northamptonshire,E10000021,Upper tier local authority,2020-04-08,0,547
North Yorkshire,E10000023,Upper tier local authority,2020-04-08,7,352
North Tyneside,E08000022,Upper tier local authority,2020-04-08,9,261
North Somerset,E06000024,Upper tier local authority,2020-04-08,0,95
North Lincolnshire,E06000013,Upper tier local authority,2020-04-08,0,67
North East Lincolnshire,E06000012,Upper tier local authority,2020-04-08,0,55
Norfolk,E10000020,Upper tier local authority,2020-04-08,0,440
Newham,E09000025,Upper tier local authority,2020-04-08,5,641
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-08,11,463
Milton Keynes,E06000042,Upper tier local authority,2020-04-08,0,221
Middlesbrough,E06000002,Upper tier local authority,2020-04-08,0,213
Merton,E09000024,Upper tier local authority,2020-04-08,0,415
Medway,E06000035,Upper tier local authority,2020-04-08,0,232
Manchester,E08000003,Upper tier local authority,2020-04-08,0,455
Luton,E06000032,Upper tier local authority,2020-04-08,0,217
Liverpool,E08000012,Upper tier local authority,2020-04-08,0,634
Lincolnshire,E10000019,Upper tier local authority,2020-04-08,0,362
Lewisham,E09000023,Upper tier local authority,2020-04-08,12,617
Leicestershire,E10000018,Upper tier local authority,2020-04-08,0,433
Leicester,E06000016,Upper tier local authority,2020-04-08,0,287
Leeds,E08000035,Upper tier local authority,2020-04-08,2,434
Lancashire,E10000017,Upper tier local authority,2020-04-08,0,1118
Lambeth,E09000022,Upper tier local authority,2020-04-08,0,766
Knowsley,E08000011,Upper tier local authority,2020-04-08,0,228
Kirklees,E08000034,Upper tier local authority,2020-04-08,4,253
Kingston upon Thames,E09000021,Upper tier local authority,2020-04-08,0,230
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-04-08,0,74
Kent,E10000016,Upper tier local authority,2020-04-08,0,1105
Kensington and Chelsea,E09000020,Upper tier local authority,2020-04-08,1,298
Islington,E09000019,Upper tier local authority,2020-04-08,0,273
Isle of Wight,E06000046,Upper tier local authority,2020-04-08,0,36
Hounslow,E09000018,Upper tier local authority,2020-04-08,0,391
Hillingdon,E09000017,Upper tier local authority,2020-04-08,0,401
Hertfordshire,E10000015,Upper tier local authority,2020-04-08,0,1098
"Herefordshire, County of",E06000019,Upper tier local authority,2020-04-08,0,84
Havering,E09000016,Upper tier local authority,2020-04-08,2,342
Hartlepool,E06000001,Upper tier local authority,2020-04-08,1,55
Harrow,E09000015,Upper tier local authority,2020-04-08,0,545
Haringey,E09000014,Upper tier local authority,2020-04-08,1,331
Hampshire,E10000014,Upper tier local authority,2020-04-08,11,1316
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-04-08,0,318
Halton,E06000006,Upper tier local authority,2020-04-08,0,147
Hackney,E09000012,Upper tier local authority,2020-04-08,2,432
Greenwich,E09000011,Upper tier local authority,2020-04-08,4,408
Gloucestershire,E10000013,Upper tier local authority,2020-04-08,0,431
Gateshead,E08000037,Upper tier local authority,2020-04-08,3,241
Essex,E10000012,Upper tier local authority,2020-04-08,3,1151
Enfield,E09000010,Upper tier local authority,2020-04-08,0,416
East Sussex,E10000011,Upper tier local authority,2020-04-08,11,276
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-04-08,1,149
Ealing,E09000009,Upper tier local authority,2020-04-08,0,585
Dudley,E08000027,Upper tier local authority,2020-04-08,0,358
Dorset,E06000059,Upper tier local authority,2020-04-08,0,142
Doncaster,E08000017,Upper tier local authority,2020-04-08,1,169
Devon,E10000008,Upper tier local authority,2020-04-08,0,294
Derbyshire,E10000007,Upper tier local authority,2020-04-08,0,578
Derby,E06000015,Upper tier local authority,2020-04-08,1,303
Darlington,E06000005,Upper tier local authority,2020-04-08,12,95
Cumbria,E10000006,Upper tier local authority,2020-04-08,1,937
Croydon,E09000008,Upper tier local authority,2020-04-08,0,813
Coventry,E08000026,Upper tier local authority,2020-04-08,0,296
County Durham,E06000047,Upper tier local authority,2020-04-08,17,450
Cornwall and the Isles of Scilly,E06000052,Upper tier local authority,2020-04-08,5,246
City of London,E09000001,Upper tier local authority,2020-04-08,0,11
Cheshire West and Chester,E06000050,Upper tier local authority,2020-04-08,0,291
Cheshire East,E06000049,Upper tier local authority,2020-04-08,0,259
Central Bedfordshire,E06000056,Upper tier local authority,2020-04-08,0,190
Camden,E09000007,Upper tier local authority,2020-04-08,0,356
Cambridgeshire,E10000003,Upper tier local authority,2020-04-08,0,290
Calderdale,E08000033,Upper tier local authority,2020-04-08,7,117
Bury,E08000002,Upper tier local authority,2020-04-08,0,177
Buckinghamshire,E10000002,Upper tier local authority,2020-04-08,0,364
Bromley,E09000006,Upper tier local authority,2020-04-08,4,622
"Bristol, City of",E06000023,Upper tier local authority,2020-04-08,0,247
Brighton and Hove,E06000043,Upper tier local authority,2020-04-08,0,163
Brent,E09000005,Upper tier local authority,2020-04-08,0,870
Bradford,E08000032,Upper tier local authority,2020-04-08,0,278
Bracknell Forest,E06000036,Upper tier local authority,2020-04-08,0,91
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-04-08,0,131
Bolton,E08000001,Upper tier local authority,2020-04-08,0,223
Blackpool,E06000009,Upper tier local authority,2020-04-08,0,98
Blackburn with Darwen,E06000008,Upper tier local authority,2020-04-08,0,96
Birmingham,E08000025,Upper tier local authority,2020-04-08,0,1522
Bexley,E09000004,Upper tier local authority,2020-04-08,2,345
Bedford,E06000055,Upper tier local authority,2020-04-08,0,139
Bath and North East Somerset,E06000022,Upper tier local authority,2020-04-08,0,84
Barnsley,E08000016,Upper tier local authority,2020-04-08,1,247
Barnet,E09000003,Upper tier local authority,2020-04-08,1,792
Barking and Dagenham,E09000002,Upper tier local authority,2020-04-08,3,266
Yorkshire and The Humber,E12000003,Region,2020-04-08,37,3805
West Midlands,E12000005,Region,2020-04-08,7,5816
South West,E12000009,Region,2020-04-08,6,2468
South East,E12000008,Region,2020-04-08,26,6951
North West,E12000002,Region,2020-04-08,1,7694
North East,E12000001,Region,2020-04-08,74,2824
London,E12000007,Region,2020-04-08,49,15176
East of England,E12000006,Region,2020-04-08,5,4228
East Midlands,E12000004,Region,2020-04-08,24,3316
England,E92000001,Nation,2020-04-08,236,54427
York,E06000014,Upper tier local authority,2020-04-07,11,99
Worcestershire,E10000034,Upper tier local authority,2020-04-07,4,471
Wolverhampton,E08000031,Upper tier local authority,2020-04-07,9,367
Wokingham,E06000041,Upper tier local authority,2020-04-07,6,139
Wirral,E08000015,Upper tier local authority,2020-04-07,3,353
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-07,6,126
Wiltshire,E06000054,Upper tier local authority,2020-04-07,10,196
Wigan,E08000010,Upper tier local authority,2020-04-07,3,220
Westminster,E09000033,Upper tier local authority,2020-04-07,5,422
West Sussex,E10000032,Upper tier local authority,2020-04-07,1,329
West Berkshire,E06000037,Upper tier local authority,2020-04-07,5,130
Warrington,E06000007,Upper tier local authority,2020-04-07,7,213
Wandsworth,E09000032,Upper tier local authority,2020-04-07,7,627
Waltham Forest,E09000031,Upper tier local authority,2020-04-07,18,461
Walsall,E08000030,Upper tier local authority,2020-04-07,3,435
Wakefield,E08000036,Upper tier local authority,2020-04-07,2,229
Tower Hamlets,E09000030,Upper tier local authority,2020-04-07,16,421
Torbay,E06000027,Upper tier local authority,2020-04-07,5,66
Thurrock,E06000034,Upper tier local authority,2020-04-07,1,143
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-07,1,104
Tameside,E08000008,Upper tier local authority,2020-04-07,1,217
Swindon,E06000030,Upper tier local authority,2020-04-07,7,110
Surrey,E10000030,Upper tier local authority,2020-04-07,43,1170
Sunderland,E08000024,Upper tier local authority,2020-04-07,3,346
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-07,10,135
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-07,4,147
Stockport,E08000007,Upper tier local authority,2020-04-07,2,338
Staffordshire,E10000028,Upper tier local authority,2020-04-07,21,695
St. Helens,E08000013,Upper tier local authority,2020-04-07,11,305
Southwark,E09000028,Upper tier local authority,2020-04-07,18,793
Southampton,E06000045,Upper tier local authority,2020-04-07,2,193
South Tyneside,E08000023,Upper tier local authority,2020-04-07,3,120
South Gloucestershire,E06000025,Upper tier local authority,2020-04-07,6,161
Somerset,E10000027,Upper tier local authority,2020-04-07,9,152
Solihull,E08000029,Upper tier local authority,2020-04-07,1,267
Slough,E06000039,Upper tier local authority,2020-04-07,14,195
Shropshire,E06000051,Upper tier local authority,2020-04-07,2,183
Sheffield,E08000019,Upper tier local authority,2020-04-07,55,1009
Sefton,E08000014,Upper tier local authority,2020-04-07,9,351
Sandwell,E08000028,Upper tier local authority,2020-04-07,4,434
Salford,E08000006,Upper tier local authority,2020-04-07,1,285
Rotherham,E08000018,Upper tier local authority,2020-04-07,8,259
Rochdale,E08000005,Upper tier local authority,2020-04-07,7,209
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-07,1,235
Redbridge,E09000026,Upper tier local authority,2020-04-07,24,397
Reading,E06000038,Upper tier local authority,2020-04-07,7,141
Portsmouth,E06000044,Upper tier local authority,2020-04-07,5,136
Plymouth,E06000026,Upper tier local authority,2020-04-07,4,112
Oldham,E08000004,Upper tier local authority,2020-04-07,8,267
Nottinghamshire,E10000024,Upper tier local authority,2020-04-07,18,525
Nottingham,E06000018,Upper tier local authority,2020-04-07,20,250
Northumberland,E06000057,Upper tier local authority,2020-04-07,28,284
Northamptonshire,E10000021,Upper tier local authority,2020-04-07,1,547
North Yorkshire,E10000023,Upper tier local authority,2020-04-07,7,345
North Tyneside,E08000022,Upper tier local authority,2020-04-07,24,252
North Somerset,E06000024,Upper tier local authority,2020-04-07,3,95
Norfolk,E10000020,Upper tier local authority,2020-04-07,6,440
Newham,E09000025,Upper tier local authority,2020-04-07,38,636
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-07,31,452
Middlesbrough,E06000002,Upper tier local authority,2020-04-07,5,213
Merton,E09000024,Upper tier local authority,2020-04-07,2,415
Medway,E06000035,Upper tier local authority,2020-04-07,3,232
Manchester,E08000003,Upper tier local authority,2020-04-07,6,455
Luton,E06000032,Upper tier local authority,2020-04-07,1,217
Liverpool,E08000012,Upper tier local authority,2020-04-07,10,634
Lincolnshire,E10000019,Upper tier local authority,2020-04-07,3,362
Lewisham,E09000023,Upper tier local authority,2020-04-07,18,605
Leicestershire,E10000018,Upper tier local authority,2020-04-07,11,433
Leicester,E06000016,Upper tier local authority,2020-04-07,10,287
Leeds,E08000035,Upper tier local authority,2020-04-07,6,432
Lancashire,E10000017,Upper tier local authority,2020-04-07,3,1118
Lambeth,E09000022,Upper tier local authority,2020-04-07,11,766
Knowsley,E08000011,Upper tier local authority,2020-04-07,7,228
Kirklees,E08000034,Upper tier local authority,2020-04-07,11,249
Kingston upon Thames,E09000021,Upper tier local authority,2020-04-07,2,230
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-04-07,8,74
Kent,E10000016,Upper tier local authority,2020-04-07,15,1105
Kensington and Chelsea,E09000020,Upper tier local authority,2020-04-07,6,297
Islington,E09000019,Upper tier local authority,2020-04-07,1,273
Hounslow,E09000018,Upper tier local authority,2020-04-07,4,391
Hillingdon,E09000017,Upper tier local authority,2020-04-07,4,401
Hertfordshire,E10000015,Upper tier local authority,2020-04-07,4,1098
"Herefordshire, County of",E06000019,Upper tier local authority,2020-04-07,2,84
Havering,E09000016,Upper tier local authority,2020-04-07,14,340
Hartlepool,E06000001,Upper tier local authority,2020-04-07,6,54
Harrow,E09000015,Upper tier local authority,2020-04-07,7,545
