Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,2020-04-20,0,189
Worcestershire,E10000034,Upper tier local authority,2020-04-20,0,916
Wolverhampton,E08000031,Upper tier local authority,2020-04-20,0,599
Wokingham,E06000041,Upper tier local authority,2020-04-20,0,275
Wirral,E08000015,Upper tier local authority,2020-04-20,0,813
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-20,0,205
Wiltshire,E06000054,Upper tier local authority,2020-04-20,1,380
Wigan,E08000010,Upper tier local authority,2020-04-20,0,452
Westminster,E09000033,Upper tier local authority,2020-04-20,0,563
West Sussex,E10000032,Upper tier local authority,2020-04-20,0,895
West Berkshire,E06000037,Upper tier local authority,2020-04-20,1,241
Warwickshire,E10000031,Upper tier local authority,2020-04-20,0,884
Warrington,E06000007,Upper tier local authority,2020-04-20,0,460
Wandsworth,E09000032,Upper tier local authority,2020-04-20,0,854
Waltham Forest,E09000031,Upper tier local authority,2020-04-20,0,656
Walsall,E08000030,Upper tier local authority,2020-04-20,0,714
Wakefield,E08000036,Upper tier local authority,2020-04-20,0,413
Trafford,E08000009,Upper tier local authority,2020-04-20,1,480
Tower Hamlets,E09000030,Upper tier local authority,2020-04-20,3,560
Torbay,E06000027,Upper tier local authority,2020-04-20,3,147
Thurrock,E06000034,Upper tier local authority,2020-04-20,0,234
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-20,0,180
Tameside,E08000008,Upper tier local authority,2020-04-20,0,383
Swindon,E06000030,Upper tier local authority,2020-04-20,0,284
Sutton,E09000029,Upper tier local authority,2020-04-20,0,595
Surrey,E10000030,Upper tier local authority,2020-04-20,2,2100
Sunderland,E08000024,Upper tier local authority,2020-04-20,0,922
Suffolk,E10000029,Upper tier local authority,2020-04-20,0,701
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-20,4,303
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-20,0,241
Stockport,E08000007,Upper tier local authority,2020-04-20,0,658
Staffordshire,E10000028,Upper tier local authority,2020-04-20,4,1287
St. Helens,E08000013,Upper tier local authority,2020-04-20,0,492
Southwark,E09000028,Upper tier local authority,2020-04-20,0,1098
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-20,0,255
Southampton,E06000045,Upper tier local authority,2020-04-20,2,365
South Tyneside,E08000023,Upper tier local authority,2020-04-20,0,371
South Gloucestershire,E06000025,Upper tier local authority,2020-04-20,1,281
Somerset,E10000027,Upper tier local authority,2020-04-20,0,366
Solihull,E08000029,Upper tier local authority,2020-04-20,0,443
Slough,E06000039,Upper tier local authority,2020-04-20,0,317
Shropshire,E06000051,Upper tier local authority,2020-04-20,0,352
Sheffield,E08000019,Upper tier local authority,2020-04-20,15,1684
Sefton,E08000014,Upper tier local authority,2020-04-20,0,667
Sandwell,E08000028,Upper tier local authority,2020-04-20,0,776
Salford,E08000006,Upper tier local authority,2020-04-20,0,477
Rutland,E06000017,Upper tier local authority,2020-04-20,0,13
Rotherham,E08000018,Upper tier local authority,2020-04-20,6,515
Rochdale,E08000005,Upper tier local authority,2020-04-20,0,328
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-20,0,335
Redcar and Cleveland,E06000003,Upper tier local authority,2020-04-20,0,223
Redbridge,E09000026,Upper tier local authority,2020-04-20,0,600
Reading,E06000038,Upper tier local authority,2020-04-20,0,361
Portsmouth,E06000044,Upper tier local authority,2020-04-20,0,237
Plymouth,E06000026,Upper tier local authority,2020-04-20,1,215
Peterborough,E06000031,Upper tier local authority,2020-04-20,0,147
Oxfordshire,E10000025,Upper tier local authority,2020-04-20,0,1240
Oldham,E08000004,Upper tier local authority,2020-04-20,0,485
Nottinghamshire,E10000024,Upper tier local authority,2020-04-20,0,888
Nottingham,E06000018,Upper tier local authority,2020-04-20,0,391
Northumberland,E06000057,Upper tier local authority,2020-04-20,0,621
Northamptonshire,E10000021,Upper tier local authority,2020-04-20,0,904
North Yorkshire,E10000023,Upper tier local authority,2020-04-20,4,656
North Tyneside,E08000022,Upper tier local authority,2020-04-20,0,395
North Somerset,E06000024,Upper tier local authority,2020-04-20,0,169
North Lincolnshire,E06000013,Upper tier local authority,2020-04-20,0,171
North East Lincolnshire,E06000012,Upper tier local authority,2020-04-20,0,93
