code,name,median age,population density,population density deciles,Age 0 to 15,Age 65 plus,Age 85 plus,Working age 16 to 64,Old Age Dependency Ratio,Dependency Ratio
S12000010,East Lothian,44.6,158,3,18.4,20.3,2.5,61.3,33.1,63.1
S12000011,East Renfrewshire,43.7,549,5,20.4,20.1,2.9,59.5,33.8,68.1
S12000013,Na h-Eileanan Siar,49.5,9,1,15.9,25.8,3.5,58.3,44.3,71.6
S12000014,Falkirk,43.4,542,5,17.5,18.9,2.1,63.6,29.8,57.2
S12000017,Highland,46.6,9,1,16.6,22.5,2.7,60.9,36.9,64.1
S12000018,Inverclyde,46.2,486,5,16.2,21.2,2.7,62.6,33.9,59.8
S12000019,Midlothian,41.6,261,4,19.4,18.8,2.0,61.8,30.4,61.9
S12000020,Moray,45.3,43,1,16.8,21.6,2.7,61.5,35.1,62.5
S12000021,North Ayrshire,46.7,152,2,16.7,22.7,2.5,60.7,37.4,64.8
S12000023,Orkney Islands,48,23,1,16.1,23.8,2.7,60.1,39.7,66.4
S12000026,Scottish Borders,49.1,24,1,16.5,24.8,2.8,58.8,42.2,70.2
S12000027,Shetland Islands,44.2,16,1,18.3,20.4,2.2,61.2,33.4,63.3
S12000028,South Ayrshire,49,92,1,15.6,25.5,3.2,58.8,43.4,70.0
S12000029,South Lanarkshire,44.2,181,3,17.4,19.6,2.3,63.1,31.0,58.5
S12000030,Stirling,42.3,43,1,16.4,19.4,2.3,64.2,30.2,55.6
S12000033,Aberdeen City,37.3,1229,7,15.5,15.8,2.1,68.7,23.0,45.6
S12000034,Aberdeenshire,44,41,1,18.8,19.6,2.2,61.7,31.7,62.1
S12000035,Argyll and Bute,49.7,12,1,15.0,25.9,3.0,59.1,43.8,69.2
S12000036,City of Edinburgh,36.5,1996,8,15.1,15.1,2.2,69.8,21.7,43.2
S12000038,Renfrewshire,42.9,686,6,16.9,18.9,2.3,64.2,29.5,55.8
S12000039,West Dunbartonshire,43.3,559,5,17.6,18.8,2.1,63.6,29.6,57.3
S12000040,West Lothian,41,428,5,19.4,16.6,1.7,64.0,26.0,56.3
S12000041,Angus,47.1,53,1,16.5,23.9,3.0,59.6,40.1,67.8
S12000042,Dundee City,37,2489,8,16.1,17.5,2.5,66.4,26.3,50.5
S12000045,East Dunbartonshire,46.4,624,6,17.9,22.5,3.1,59.6,37.8,67.7
S12000047,Fife,43.8,282,4,17.3,20.6,2.4,62.1,33.2,61.0
S12000048,Perth and Kinross,47,29,1,16.1,23.6,3.2,60.3,39.1,65.7
S12000049,Glasgow City,35.6,3618,9,15.9,13.5,1.8,70.6,19.0,41.5
S12000050,North Lanarkshire,41.5,726,6,18.4,17.3,1.7,64.3,26.9,55.6
,,,,,,,,,,
"Source: Office for National Statistics, National Records of Scotland – Population Estimates",,,,,,,,,,
